f_Hz,teorico_re,teorico_im,"Medido (simplificado, 3 patrones)_re","Medido (simplificado, 3 patrones)_im","Medido (completo, 4 patrones, Automático)_re","Medido (completo, 4 patrones, Automático)_im","Medido (completo, 4 patrones, Clásico)_re","Medido (completo, 4 patrones, Clásico)_im"
1000000.0,81.90815165378257,-0.005177353801393363,81.90815165378257,-0.005177353801393363,81.90815165378251,-0.005177353801358448,81.90815165378251,-0.005177353801358448
2000000.0,81.90815060263684,-0.010354707460512324,81.90815060263682,-0.010354707460511961,81.9081506026371,-0.010354707460508041,81.9081506026371,-0.010354707460508041
3000000.0,81.90814885072733,-0.015532060835082493,81.90814885072733,-0.015532060835082493,81.90814885072724,-0.015532060835085255,81.90814885072724,-0.015532060835085255
4000000.0,81.90814639805419,-0.020709413782829506,81.90814639805419,-0.020709413782829506,81.90814639805431,-0.020709413782831792,81.90814639805431,-0.020709413782831792
5000000.0,81.90814324461749,-0.025886766161479037,81.90814324461748,-0.025886766161479034,81.90814324461756,-0.025886766161482316,81.90814324461756,-0.025886766161482316
6000000.0,81.90813939041745,-0.03106411782875682,81.90813939041745,-0.03106411782875682,81.90813939041746,-0.0310641178287458,81.90813939041746,-0.0310641178287458
7000000.0,81.90813483545426,-0.03624146864238864,81.90813483545426,-0.03624146864238864,81.90813483545418,-0.03624146864237789,81.90813483545418,-0.03624146864237789
8000000.0,81.90812957972817,-0.041418818460100364,81.90812957972817,-0.041418818460100364,81.90812957972824,-0.04141881846009513,81.90812957972824,-0.04141881846009513
9000000.0,81.90812362323949,-0.04659616713961797,81.90812362323948,-0.04659616713961928,81.90812362323905,-0.04659616713963812,81.90812362323905,-0.04659616713963812
10000000.0,81.90811696598853,-0.051773514538667506,81.90811696598853,-0.051773514538667506,81.9081169659886,-0.0517735145386698,81.9081169659886,-0.0517735145386698
11000000.0,81.90810960797565,-0.05695086051497518,81.90810960797565,-0.05695086051497518,81.90810960797556,-0.056950860514979176,81.90810960797556,-0.056950860514979176
12000000.0,81.90810154920126,-0.062128204926267284,81.90810154920126,-0.062128204926267284,81.90810154920113,-0.062128204926269005,81.90810154920113,-0.062128204926269005
13000000.0,81.9080927896658,-0.06730554763027026,81.9080927896658,-0.06730554763027026,81.9080927896656,-0.0673055476302759,81.9080927896656,-0.0673055476302759
14000000.0,81.90808332936977,-0.07248288848471077,81.90808332936976,-0.07248288848471245,81.90808332936999,-0.07248288848471135,81.90808332936999,-0.07248288848471135
15000000.0,81.90807316831368,-0.07766022734731558,81.90807316831368,-0.07766022734731558,81.90807316831383,-0.07766022734731544,81.90807316831383,-0.07766022734731544
16000000.0,81.9080623064981,-0.08283756407581164,81.9080623064981,-0.08283756407581164,81.90806230649815,-0.0828375640758153,81.90806230649815,-0.0828375640758153
17000000.0,81.90805074392358,-0.08801489852792609,81.90805074392357,-0.08801489852792747,81.90805074392351,-0.0880148985279222,81.90805074392351,-0.0880148985279222
18000000.0,81.9080384805908,-0.09319223056138635,81.90803848059079,-0.09319223056138634,81.90803848059083,-0.09319223056139458,81.90803848059083,-0.09319223056139458
19000000.0,81.90802551650044,-0.09836956003392,81.90802551650043,-0.09836956003391999,81.90802551650035,-0.09836956003391688,81.90802551650035,-0.09836956003391688
