f_Hz,teorico_re,teorico_im,"Medido (simplificado, 3 patrones)_re","Medido (simplificado, 3 patrones)_im","Medido (completo, 4 patrones)_re","Medido (completo, 4 patrones)_im"
100000000.0,18.536273411453244,-3.3908098037769085,24.59907693654523,-2.3338716450582506,18.535819470863864,-3.3908273220238567
105000000.0,18.462154558803007,-3.5427856568973817,24.49209020610504,-2.606486990735937,18.461700104482208,-3.5428046176654986
110000000.0,18.385203510870383,-3.692385588528928,24.501130501663894,-2.7982660898905767,18.384748885345754,-3.692405530844646
115000000.0,18.30551895370941,-3.839539339794149,24.411578655592002,-2.9921948074368654,18.305063778914395,-3.8395603814255064
120000000.0,18.223201404067268,-3.984181603060341,24.36164824333312,-3.15987132642688,18.222745799042784,-3.9842035824587136
125000000.0,18.138352923573287,-4.126252044605005,24.1839874265844,-3.3743063512601648,18.137896449489315,-4.1262752923328305
130000000.0,18.051076836744134,-4.265695309046098,24.16323105359817,-3.567606928798729,18.05062007410424,-4.265719536803231
135000000.0,17.96147745403961,-4.402461006214689,24.06242852669805,-3.7704482370268266,17.961020103607694,-4.402486341171097
140000000.0,17.869659801115436,-4.536503681231344,23.937466850192294,-3.9910928920583815,17.86920179016707,-4.536530213027204
145000000.0,17.775729355326988,-4.66778276862082,23.89230182901939,-4.182987330015317,17.775270959996398,-4.667810276646846
150000000.0,17.67979179044127,-4.796262531362093,23.807250856556845,-4.366559580112179,17.679332845248325,-4.79629102256602
155000000.0,17.581952730415416,-4.9219119858225,23.692038756939734,-4.5618971345481825,17.581493131449605,-4.921941534480847
160000000.0,17.482317512999366,-5.044704813565992,23.57337671199939,-4.701601319999414,17.481857178330095,-5.044735194675835
165000000.0,17.38099096381956,-5.164619261056294,23.512718781055586,-4.808325188045248,17.38053008219799,-5.1646502595990755
170000000.0,17.27807718150035,-5.28163802829669,23.388823972868803,-4.985975055202177,17.27761559306094,-5.281669997540774
175000000.0,17.173679334281083,-5.395748147459385,23.317436245241417,-5.131803246829741,17.173217210537118,-5.3957808831260765
180000000.0,17.067899468491092,-5.506940852559878,23.192712158033164,-5.349209152898231,17.067436689638924,-5.506974703050398
185000000.0,16.960838329151834,-5.615211441225619,23.05604203749144,-5.464954744146161,16.960374718729216,-5.615246003751656
190000000.0,16.852595192886607,-5.720559129594478,23.011390639065592,-5.62180685608417,16.852131179378596,-5.720594442275056
195000000.0,16.743267713234044,-5.822986901357752,22.9183912580775,-5.7549955117375475,16.742803074133676,-5.823022921838471
200000000.0,16.632951778382147,-5.922501351935243,22.801976484610588,-5.9103606581060895,16.632486450170124,-5.9225381936992685
205000000.0,16.52174138126558,-6.019112528737228,22.645999371316872,-6.081272252333733,16.52127522471355,-6.0191502999504145
210000000.0,16.40972850190065,-6.112833768430564,22.583816237218805,-6.2466984280585915,16.409261900155673,-6.1128723185585425
215000000.0,16.297003001769653,-6.203681532084401,22.447644485012166,-6.337081818423658,16.296535555860217,-6.203720638449622
220000000.0,16.183652530009848,-6.291675239025921,22.32566307916965,-6.489791265145796,16.183184383739864,-6.291715135309513
225000000.0,16.069762441111454,-6.3768371001886495,22.22593925466231,-6.6074629405209615,16.069293646059926,-6.376877604682177
230000000.0,15.95541572378438,-6.45919195168591,22.131681017014035,-6.758648623750134,15.954946351988049,-6.459233191745417
235000000.0,15.840692940614574,-6.538767089290754,22.017917413663074,-6.8370751591423,15.84022281959254,-6.538808777041819
240000000.0,15.72567217809751,-6.615592104451342,21.878202715458976,-7.010214988832346,15.725201326837157,-6.615634669544887
245000000.0,15.610429006608765,-6.68969872241826,21.780805487584676,-7.061704635952764,15.609957449650604,-6.689741586491826
250000000.0,15.495036449849053,-6.7611206430078035,21.69054184813402,-7.173660396958405,15.494564303458581,-6.761164047700404
255000000.0,15.379564963283638,-6.829893384473429,21.523121785143083,-7.311660777330433,15.379091935709347,-6.829937539994988
260000000.0,15.26408242108331,-6.8960541309067525,21.433047420662124,-7.365318691478254,15.263608737359176,-6.896098565686867
265000000.0,15.148654111065593,-6.959641583539882,21.293239442154025,-7.478480386700555,15.148179641520901,-6.959686616449582
270000000.0,15.033342737130585,-7.020695816272995,21.1689782729788,-7.585751796456242,15.032867546200338,-7.020741396717482
275000000.0,14.918208428685105,-7.079258135705007,21.06287330195694,-7.7141558600533235,14.917732629271077,-7.079304327860195
280000000.0,14.803308756551608,-7.1353709459011325,20.95583718044386,-7.765242433662952,14.802832246239728,-7.135417408813226
285000000.0,14.688698754864003,-7.189077618089464,20.818276251101928,-7.874663017358793,14.688221483675765,-7.189124645450636
290000000.0,14.574430948461087,-7.240422365439187,20.704735806487456,-7.966109866549405,14.573953003084496,-7.240469842472356
295000000.0,14.46055538529898,-7.289450123036137,20.59086503024533,-8.054004637163699,14.460076765041073,-7.289498031495402
300000000.0,14.347119673417021,-7.336206433136922,20.472487386966876,-8.15807112805666,14.346640385553263,-7.336254848580544
305000000.0,14.234169022006103,-7.380737335750856,20.35525983726006,-8.21603280527118,14.233689014696292,-7.380786048253027
310000000.0,14.121746286144662,-7.423089264569584,20.2375688804731,-8.318288759640943,14.121265622586025,-7.4231384708334165
315000000.0,14.009892014784814,-7.463308948237284,20.09069728966635,-8.361845865956768,14.009410489136151,-7.463358421771999
320000000.0,13.898644501589523,-7.501443316929922,19.984525324208814,-8.441734151717776,13.89816235155047,-7.501493163757025
325000000.0,13.788039838240678,-7.537539414189952,19.875330581814534,-8.527131144781157,13.787557063168556,-7.537589661995639
330000000.0,13.678111969857461,-7.571644313943062,19.720253798115266,-8.56606277521165,13.677628302881539,-7.5716948125441
335000000.0,13.568892752184423,-7.603805042606088,19.61589787516655,-8.674990864433276,13.568408524174547,-7.6038560400519435
340000000.0,13.460412010228525,-7.63406850617982,19.494082703525287,-8.706733593423367,13.459927041593234,-7.634119672840632
