f_Hz,teorico_re,teorico_im,"Medido (simplificado, 3 patrones)_re","Medido (simplificado, 3 patrones)_im","Medido (completo, 4 patrones)_re","Medido (completo, 4 patrones)_im"
100000000.0,25.5228,-2.9974999999999996,32.731534504107145,-1.3171128343667289,24.731034521276833,-5.695520889804357
105000000.0,25.47997555012225,-3.1409513325183376,32.652764854241916,-1.5977994522872554,24.565570724807667,-5.923189125316844
110000000.0,25.435249950209123,-3.283492135032862,32.680662723917415,-1.7779942706927971,24.36390625782876,-6.148708056916635
115000000.0,25.388648715783198,-3.425085860450096,32.64081232987197,-1.9651891050934365,24.20475652643539,-6.369520316862586
120000000.0,25.340198255352895,-3.565696843774782,32.56434928332346,-2.102068524050863,23.973683140226864,-6.557354760589105
125000000.0,25.28992583436341,-3.7052903275648945,32.519519722404844,-2.320472555917992,23.89073549776652,-6.773615901404653
130000000.0,25.237859538370483,-3.843832485697376,32.49755947623478,-2.567962988508397,23.647463513656398,-7.010873162766583
135000000.0,25.184028235525606,-3.981290445422795,32.482383276004505,-2.7558993809395615,23.501540642475913,-7.192151357178974
140000000.0,25.128461538461536,-4.117632307692308,32.4515307628248,-2.9705967116287337,23.362149804947627,-7.36730709832777
145000000.0,25.07118976566704,-4.252827165745315,32.331108835008095,-3.1706924813296844,23.063112548883293,-7.525064217508604
150000000.0,25.012243902439025,-4.38684512195122,32.40853200489069,-3.3668704081016045,22.959170977388975,-7.721037259450314
155000000.0,24.951655561499926,-4.519657302903555,32.269220567403494,-3.5125788511033296,22.72472112827975,-7.8195865001077385
160000000.0,24.88945694336695,-4.651235872769589,32.26451716759651,-3.681660725654736,22.58539775351947,-8.011818478166875
165000000.0,24.825680796558558,-4.781554044903088,32.12966811594421,-3.8573819444037225,22.276482165604488,-8.20100583363026
170000000.0,24.760360377722105,-4.910586091732511,32.1666342779552,-3.985558532160636,22.18455233399962,-8.314039386578816
175000000.0,24.693529411764704,-5.038307352941176,32.098975292283875,-4.1673756637678885,21.94092474012501,-8.4643582220782
180000000.0,24.625222052067382,-5.164694241960185,32.03772551553176,-4.390180629511995,21.758939262165306,-8.572365452365021
185000000.0,24.555472840860315,-5.289724250798798,31.9448029459064,-4.486777508544283,21.57580067789716,-8.676449328977954
190000000.0,24.48431666983463,-5.413375953240828,31.925868171129856,-4.642905096612639,21.347712074348294,-8.776919163446916
195000000.0,24.411788741063397,-5.5356290064390885,31.902924340426836,-4.801145715841678,21.16221056259058,-8.901729633993206
200000000.0,24.337924528301883,-5.656464150943395,31.80039631470776,-4.986323791691086,20.939538782340133,-9.002746302837757
205000000.0,24.262759738734083,-5.775863209200695,31.76865591443835,-5.137685566217395,20.819605343238152,-9.076536486304105
210000000.0,24.186330275229356,-5.893809082568807,31.687897983618512,-5.303166496941075,20.565512663594177,-9.134285107601475
215000000.0,24.108672199170126,-6.010285746887967,31.59953648162956,-5.438685941808568,20.376995374907384,-9.24830656776126
220000000.0,24.029821693907873,-6.125278246656761,31.564959046027454,-5.5569313202991175,20.22774191562879,-9.28974379738735
225000000.0,23.94981502890173,-6.238772687861272,31.492944954664218,-5.73333306897488,20.01255007559214,-9.389928293981582
230000000.0,23.868688524590162,-6.350756229508196,31.415562178740018,-5.887549413337385,19.79998926596655,-9.4320030078211
235000000.0,23.786478518043012,-6.46121707391444,31.316311830023306,-6.0292401818114465,19.584799051855416,-9.529255321578331
240000000.0,23.703221329437543,-6.570144455807157,31.246700419382005,-6.19868196321968,19.427005841061,-9.55662256560154
245000000.0,23.618953229398663,-6.677528630289532,31.21391681346459,-6.279054965763538,19.255637957466124,-9.63741268805861
250000000.0,23.533710407239816,-6.783360859728506,31.165411993212988,-6.401897699485806,19.068592640076755,-9.677970845567827
255000000.0,23.447528940137833,-6.887633399621638,31.064147373648215,-6.58353938170581,18.91418236967581,-9.728482897766465
260000000.0,23.36044476327116,-6.990339483500717,30.988971599034418,-6.683556452478003,18.709232157163946,-9.793510936883184
265000000.0,23.272493640947832,-7.091473306930251,30.923634257384755,-6.795280790132238,18.56892704740462,-9.813582199519093
270000000.0,23.183711138745778,-7.191030010659086,30.844042673424973,-6.981304069773037,18.388828299624652,-9.878910664263726
275000000.0,23.094132596685082,-7.289005662983425,30.779583659749484,-7.120799198550225,18.217733236432732,-9.887957656643025
