f_Hz,teorico_re,teorico_im,"Medido (simplificado, 3 patrones)_re","Medido (simplificado, 3 patrones)_im","Medido (completo, 4 patrones, Automático)_re","Medido (completo, 4 patrones, Automático)_im","Medido (completo, 4 patrones, Clásico)_re","Medido (completo, 4 patrones, Clásico)_im"
100000000.0,18.892340933288118,-5.542610473608728,25.696321718456968,-2.480186674268276,18.891881276136697,-5.542631529948622,18.891881276136697,-5.542631529948622
105000000.0,18.713303752639895,-5.751881288461378,25.583677619934086,-2.767210664193255,18.712843278694972,-5.7519036312411975,18.712843278694972,-5.7519036312411975
110000000.0,18.529971687304702,-5.952984049101251,25.59257006472995,-2.9698119826241,18.52951074193317,-5.953006988745882,18.52951074193317,-5.953006988745882
115000000.0,18.342804364066208,-6.145877044586238,25.498235403679587,-3.1744841302937488,18.342342539101182,-6.145900804386737,18.342342539101182,-6.145900804386737
120000000.0,18.152251840445203,-6.330547604478702,25.44538858823701,-3.3517399728683985,18.15178928597962,-6.330571925695979,18.15178928597962,-6.330571925695979
125000000.0,17.958752750946473,-6.507010398661679,25.258732657535774,-3.5776736346048943,17.958289011308636,-6.5070358040096075,17.958289011308636,-6.5070358040096075
130000000.0,17.762732681420562,-6.675305643445125,25.23630884467847,-3.781781561250102,17.76226848818391,-6.675331601367222,17.76226848818391,-6.675331601367222
135000000.0,17.56460276975707,-6.835497241916246,25.130052882189144,-3.9956997458805925,17.56413779643511,-6.835523985640573,17.56413779643511,-6.835523985640573
140000000.0,17.36475852801473,-6.98767088465788,24.998438243643378,-4.228181177598085,17.36429273312297,-6.987698549067747,17.36429273312297,-6.987698549067747
145000000.0,17.163578878422676,-7.131932134853948,24.95037229895293,-4.430734209562831,17.163112625900503,-7.13196035838147,17.163112625900503,-7.13196035838147
150000000.0,16.961425393462807,-7.268404519503966,24.860548391785994,-4.624473959753191,16.96095849888259,-7.268433350393058,16.96095849888259,-7.268433350393058
155000000.0,16.758641728456972,-7.397227646055304,24.739097696969846,-4.830439182825866,16.758174100133402,-7.397257213279964,16.758174100133402,-7.397257213279964
160000000.0,16.555553233715802,-7.518555361300709,24.61414551230436,-4.978148530411654,16.55508474632055,-7.518585373089634,16.55508474632055,-7.518585373089634
165000000.0,16.352466732332218,-7.632553966939499,24.549965734966648,-5.09147173393577,16.35199764857904,-7.632584090190255,16.35199764857904,-7.632584090190255
170000000.0,16.149670449088177,-7.739400503814059,24.419391021163513,-5.278847537190826,16.14920064177486,-7.739431274937795,16.14920064177486,-7.739431274937795
175000000.0,15.947434075651017,-7.839281114550227,24.343831188462733,-5.433042908642448,15.946963786624634,-7.839312228513174,15.946963786624634,-7.839312228513174
180000000.0,15.746008957226046,-7.932389492183315,24.21221959003274,-5.661989045445572,15.74553809963789,-7.93242148190516,15.74553809963789,-7.93242148190516
185000000.0,15.545628386064188,-8.01892542036448,24.068368048877634,-5.784478787339101,15.545156672763948,-8.018957750808566,15.545156672763948,-8.018957750808566
190000000.0,15.346507987657626,-8.099093408931546,24.020682639116455,-5.950246394992735,15.346036070015682,-8.09912609402076,15.346036070015682,-8.09912609402076
195000000.0,15.148846186053895,-8.17310142700317,23.922442457329534,-6.091089676087264,15.148373764719834,-8.173134456159941,15.148373764719834,-8.173134456159941
200000000.0,14.952824735444045,-8.24115973431935,23.79960299784954,-6.255053340476955,14.952351754844566,-8.241193299734539,14.952351754844566,-8.241193299734539
205000000.0,14.75860930599985,-8.303479810302878,23.63528104212076,-6.435140030036993,14.758135593839055,-8.30351410485632,14.758135593839055,-8.30351410485632
210000000.0,14.566350112819272,-8.360273379250199,23.569115977589696,-6.609772076504399,14.565876228755318,-8.36030816932207,14.565876228755318,-8.36030816932207
215000000.0,14.37618257776199,-8.411751529167516,23.425742236076147,-6.705600066759545,14.375707939043577,-8.411786549883525,14.375707939043577,-8.411786549883525
220000000.0,14.188228014895415,-8.458123921037833,23.296987943870946,-6.866686232885691,14.187752865540787,-8.458159523002971,14.187752865540787,-8.458159523002971
225000000.0,14.002594331207078,-8.499598084724516,23.191628852642495,-6.991160510215339,14.002118747171602,-8.499634022483528,14.002118747171602,-8.499634022483528
230000000.0,13.819376735155704,-8.536378797272944,23.0918485097033,-7.150713837164554,13.818900841387123,-8.536415277311637,13.818900841387123,-8.536415277311637
235000000.0,13.638658446518448,-8.56866753905017,22.97190031464838,-7.2340284005186355,13.63818198722368,-8.568704174012861,13.63818198722368,-8.568704174012861
240000000.0,13.460511401835342,-8.596662022948653,22.824418231097727,-7.416352245815348,13.460034431626505,-8.596699462273826,13.460034431626505,-8.596699462273826
245000000.0,13.284996950547228,-8.620555791760546,22.72167030497121,-7.471498230131445,13.284519492462863,-8.620593212219319,13.284519492462863,-8.620593212219319
250000000.0,13.11216653766517,-8.640537878790235,22.626139864969566,-7.589939828663143,13.111688776441023,-8.640575654646685,13.111688776441023,-8.640575654646685
255000000.0,12.942062369494211,-8.656792526802453,22.449734458558297,-7.735312114691427,12.941583886425596,-8.656830991317849,12.941583886425596,-8.656830991317849
260000000.0,12.774718059561346,-8.669498960489525,22.354603901167774,-7.792703626843666,12.774239182677075,-8.669537444974647,12.774239182677075,-8.669537444974647
265000000.0,12.610159252466355,-8.678831207774005,22.207163695621684,-7.91214690482249,12.609679796374877,-8.678870198518524,12.609679796374877,-8.678870198518524
270000000.0,12.448404223885497,-8.684957965431863,22.076001519232026,-8.025468768884222,12.447924283132966,-8.684997409537058,12.447924283132966,-8.684997409537058
275000000.0,12.289464455414372,-8.688042504718888,21.963731749197283,-8.160965992017728,12.288984192164223,-8.688082517686246,12.288984192164223,-8.688082517686246
280000000.0,12.13334518333933,-8.688242612900586,21.850809953823862,-8.215522296880781,12.132864455116824,-8.688282718369184,12.132864455116824,-8.688282718369184
285000000.0,11.980045920780183,-8.685710566818083,21.705669565634953,-8.330973711777172,11.979564646083507,-8.685751207921102,11.979564646083507,-8.685751207921102
290000000.0,11.829560952953631,-8.680593134862988,21.58573341399066,-8.427701806639794,11.829079257870134,-8.680634166567806,11.829079257870134,-8.680634166567806
295000000.0,11.681879805570171,-8.673031603978572,21.46545333723606,-8.520691775414418,11.681397686228987,-8.673073018043466,11.681397686228987,-8.673073018043466
300000000.0,11.536987686601272,-8.66316182854895,21.340365370091448,-8.630565906030201,11.536505145438642,-8.663203751347046,11.536505145438642,-8.663203751347046
305000000.0,11.39486590184136,-8.651114298279015,21.21668725794282,-8.69217415262222,11.394382870101257,-8.651156441912498,11.394382870101257,-8.651156441912498
310000000.0,11.255492244844406,-8.63701422240285,21.09229701263543,-8.800117112518835,11.25500879718317,-8.637056888406402,11.25500879718317,-8.637056888406402
315000000.0,11.118841361941088,-8.620981627785557,20.937644415129142,-8.846462964738878,11.118357211812635,-8.621024493819792,11.118357211812635,-8.621024493819792
320000000.0,10.984885093142669,-8.603131468701118,20.825394774654896,-8.931013597200847,10.98440056815658,-8.603174716129468,10.98440056815658,-8.603174716129468
325000000.0,10.853592789814957,-8.583573746275968,20.709940349774275,-9.02129584153694,10.853107879856955,-8.583617428560705,10.853107879856955,-8.583617428560705
330000000.0,10.724931610062923,-8.562413635783578,20.546697766896337,-9.062691585309427,10.72444594022297,-8.56245753171692,10.72444594022297,-8.56245753171692
335000000.0,10.59886679280626,-8.539751620159262,20.436158737921435,-9.177585339079284,10.598380806417348,-8.539796120241322,10.598380806417348,-8.539796120241322
340000000.0,10.475361911550777,-8.515683628276207,20.307746576713793,-9.211589890763761,10.474875373477046,-8.515728262168354,10.474875373477046,-8.515728262168354
345000000.0,10.354379108872282,-8.4903011766834,20.19299088650806,-9.28779711035902,10.353892168171079,-8.490346199711706,10.353892168171079,-8.490346199711706
350000000.0,10.235879312630423,-8.463691513654041,20.060022430087034,-9.34071287913579,10.235391819237593,-8.463736815498313,10.235391819237593,-8.463736815498313
355000000.0,10.119822434921605,-8.435937764529218,19.926770643169803,-9.41108350848066,10.119334411156391,-8.435983464931384,10.119334411156391,-8.435983464931384
360000000.0,10.006167554764232,-8.407119077466696,19.803718516498982,-9.451107872343126,10.005679020339942,-8.407164978573142,10.005679020339942,-8.407164978573142
365000000.0,9.894873085487351,-8.377310768819015,19.678073619446515,-9.522615972391003,9.89438406701765,-8.377357082412114,9.89438406701765,-8.377357082412114
370000000.0,9.785896927766837,-8.3465844674691,19.5980477934959,-9.571737404222375,9.785407681951233,-8.346630997062858,9.785407681951233,-8.346630997062858
375000000.0,9.67919660922228,-8.31500825754622,19.44532261700029,-9.649013201889767,9.678706710229534,-8.31505529042108,9.678706710229534,-8.31505529042108
380000000.0,9.574729411453877,-8.282646819030441,19.311246151900637,-9.671442145025754,9.574238901235661,-8.282693987859847,9.574238901235661,-8.282693987859847
385000000.0,9.472452485362734,-8.24956156583078,19.179164731777565,-9.725642830769736,9.47196141709654,-8.24960907709202,9.47196141709654,-8.24960907709202
390000000.0,9.372322955560497,-8.21581078099132,19.065408953732334,-9.74770264992301,9.371831401200982,-8.215858412373926,9.371831401200982,-8.215858412373926
395000000.0,9.274298014635999,-8.181449748741441,18.950120245565067,-9.807802841845602,9.273806011935957,-8.181497751893167,9.273806011935957,-8.181497751893167
400000000.0,9.178335008008048,-8.146530883161375,18.828682038037527,-9.847554068223676,9.17784248845318,-8.146579142634431,9.17784248845318,-8.146579142634431
405000000.0,9.08439151005489,-8.111103853283328,18.709503827006287,-9.923164311167138,9.083898530490405,-8.111152601724164,9.083898530490405,-8.111152601724164
410000000.0,8.99242539217283,-8.07521570449159,18.586981726319202,-9.956743054282313,8.991931875011641,-8.075264683188028,8.991931875011641,-8.075264683188028
415000000.0,8.902394883378953,-8.0389109761233,18.471596039662817,-9.979689724898494,8.901900858450114,-8.038960113649388,8.901900858450114,-8.038960113649388
