f_Hz,teorico_re,teorico_im,"Medido (simplificado, 3 patrones)_re","Medido (simplificado, 3 patrones)_im","Medido (completo, 4 patrones, Automático)_re","Medido (completo, 4 patrones, Automático)_im","Medido (completo, 4 patrones, Clásico)_re","Medido (completo, 4 patrones, Clásico)_im"
100000000.0,25.5228,-2.9974999999999996,32.731534504107145,-1.3171128343667289,24.73145625533068,-5.695502353830478,24.73145625533068,-5.695502353830478
105000000.0,25.47997555012225,-3.1409513325183376,32.652764854241916,-1.5977994522872554,24.56599320036828,-5.923169387163539,24.56599320036828,-5.923169387163539
110000000.0,25.435249950209123,-3.283492135032862,32.680662723917415,-1.7779942706927971,24.364329391098682,-6.148687964254174,24.364329391098682,-6.148687964254174
115000000.0,25.388648715783198,-3.425085860450096,32.64081232987197,-1.9651891050934365,24.205180445005706,-6.369499519002425,24.205180445005706,-6.369499519002425
120000000.0,25.340198255352895,-3.565696843774782,32.56434928332346,-2.102068524050863,23.974108150416225,-6.557333717747416,23.974108150416225,-6.557333717747416
125000000.0,25.28992583436341,-3.7052903275648945,32.519519722404844,-2.320472555917992,23.891161046225456,-6.773593746765271,23.891161046225456,-6.773593746765271
130000000.0,25.237859538370483,-3.843832485697376,32.49755947623478,-2.567962988508397,23.647889779735266,-7.010850419877342,23.647889779735266,-7.010850419877342
135000000.0,25.184028235525606,-3.981290445422795,32.482383276004505,-2.7558993809395615,23.501967364557245,-7.19212803845873,23.501967364557245,-7.19212803845873
140000000.0,25.128461538461536,-4.117632307692308,32.4515307628248,-2.9705967116287337,23.362576932773766,-7.3672830237844735,23.362576932773766,-7.3672830237844735
145000000.0,25.07118976566704,-4.252827165745315,32.331108835008095,-3.1706924813296844,23.063540694744777,-7.525039837035008,23.063540694744777,-7.525039837035008
150000000.0,25.012243902439025,-4.38684512195122,32.40853200489069,-3.3668704081016045,22.959599075911,-7.72101235868773,22.959599075911,-7.72101235868773
155000000.0,24.951655561499926,-4.519657302903555,32.269220567403494,-3.5125788511033296,22.72515014074304,-7.819561327552788,22.72515014074304,-7.819561327552788
160000000.0,24.88945694336695,-4.651235872769589,32.26451716759651,-3.681660725654736,22.585827195359922,-8.011792832051466,22.585827195359922,-8.011792832051466
165000000.0,24.825680796558558,-4.781554044903088,32.12966811594421,-3.8573819444037225,22.27691281249718,-8.200979979559119,22.27691281249718,-8.200979979559119
170000000.0,24.760360377722105,-4.910586091732511,32.1666342779552,-3.985558532160636,22.18498293854767,-8.314013290717927,22.18498293854767,-8.314013290717927
175000000.0,24.693529411764704,-5.038307352941176,32.098975292283875,-4.1673756637678885,21.94135594131352,-8.464331868305578,21.94135594131352,-8.464331868305578
180000000.0,24.625222052067382,-5.164694241960185,32.03772551553176,-4.390180629511995,21.759370690689398,-8.572338431361548,21.759370690689398,-8.572338431361548
185000000.0,24.555472840860315,-5.289724250798798,31.9448029459064,-4.486777508544283,21.576232828440453,-8.676422222964282,21.576232828440453,-8.676422222964282
190000000.0,24.48431666983463,-5.413375953240828,31.925868171129856,-4.642905096612639,21.34814438092614,-8.776892029028021,21.34814438092614,-8.776892029028021
195000000.0,24.411788741063397,-5.5356290064390885,31.902924340426836,-4.801145715841678,21.162643093736463,-8.901702272291491,21.162643093736463,-8.901702272291491
200000000.0,24.337924528301883,-5.656464150943395,31.80039631470776,-4.986323791691086,20.939971813440103,-9.00271849326898,20.939971813440103,-9.00271849326898
205000000.0,24.262759738734083,-5.775863209200695,31.76865591443835,-5.137685566217395,20.820038440126282,-9.0765082242401,20.820038440126282,-9.0765082242401
210000000.0,24.186330275229356,-5.893809082568807,31.687897983618512,-5.303166496941075,20.565946018212195,-9.134256668943886,20.565946018212195,-9.134256668943886
215000000.0,24.108672199170126,-6.010285746887967,31.59953648162956,-5.438685941808568,20.37742929344638,-9.248277856083014,20.37742929344638,-9.248277856083014
220000000.0,24.029821693907873,-6.125278246656761,31.564959046027454,-5.5569313202991175,20.2281758662427,-9.289714902574278,20.2281758662427,-9.289714902574278
225000000.0,23.94981502890173,-6.238772687861272,31.492944954664218,-5.73333306897488,20.01298432271878,-9.389899018409835,20.01298432271878,-9.389899018409835
230000000.0,23.868688524590162,-6.350756229508196,31.415562178740018,-5.887549413337385,19.800423681891356,-9.431973437743807,19.800423681891356,-9.431973437743807
