f_Hz,teorico_re,teorico_im,"Medido (simplificado, 3 patrones)_re","Medido (simplificado, 3 patrones)_im","Medido (completo, 4 patrones)_re","Medido (completo, 4 patrones)_im"
1000000.0,81.90815165378257,-0.005177353801393363,74.89125981296793,-364.67641802730196,136.70013966745347,-128.99770033303278
2000000.0,81.90815060263684,-0.010354707460512324,73.81606784011171,-183.37795387878856,121.94673795038199,-126.91188795155558
3000000.0,81.90814885072733,-0.015532060835082493,77.05878125425994,-122.50805224351534,83.92031388965201,-110.3722869062181
4000000.0,81.90814639805419,-0.020709413782829506,78.27127323423743,-93.90842766991335,84.59589383232682,-93.14225849263543
5000000.0,81.90814324461749,-0.025886766161479037,78.56675198072884,-75.14683081045942,78.25947294434141,-75.38892405245349
6000000.0,81.90813939041745,-0.03106411782875682,79.45668513258695,-62.57105397673837,78.4764073371737,-64.44993175733849
7000000.0,81.90813483545426,-0.03624146864238864,79.95566627421644,-53.28428830555465,78.3348116740909,-57.14026792208269
8000000.0,81.90812957972817,-0.041418818460100364,80.23664435871258,-46.92266974654584,78.64671843379416,-50.4501089188241
9000000.0,81.90812362323949,-0.04659616713961797,80.43052524159712,-41.52688881948501,79.1990826757758,-45.354513676076664
10000000.0,81.90811696598853,-0.051773514538667506,80.73914859615596,-37.72758266217997,78.97297624166423,-41.01311423962801
11000000.0,81.90810960797565,-0.05695086051497518,80.84401042457756,-34.3777756487618,80.02005768583082,-37.45200257775241
12000000.0,81.90810154920126,-0.062128204926267284,81.11809153054583,-31.287188741518854,80.90547894502595,-34.654172888834125
13000000.0,81.9080927896658,-0.06730554763027026,81.31577447938858,-28.914984497934277,80.73082457694488,-32.248133634676485
14000000.0,81.90808332936977,-0.07248288848471077,81.51353544787858,-27.142106152467854,80.85126219241883,-30.72608454976727
15000000.0,81.90807316831368,-0.07766022734731558,81.66202115036558,-25.241539288697897,81.50789379159943,-29.13523215708943
16000000.0,81.9080623064981,-0.08283756407581164,81.65544168773985,-23.80427708551744,82.0014707316982,-27.085476128587146
17000000.0,81.90805074392358,-0.08801489852792609,82.00685091402818,-22.420957673044725,81.92939394856464,-26.05844847103011
18000000.0,81.9080384805908,-0.09319223056138635,81.94348749062455,-21.218895915052688,81.93083607124842,-24.465049833755934
19000000.0,81.90802551650044,-0.09836956003392,82.06766370201056,-20.117585493448857,82.16767908681732,-23.181804434480146
20000000.0,81.90801185165317,-0.10354688680325483,82.1272491665558,-19.10513908727096,82.52191624711878,-22.1940752734778
21000000.0,81.9079974860498,-0.10872421072711898,82.19449801675083,-18.15123317528342,82.71545181218696,-21.1297550041049
22000000.0,81.90798241969105,-0.11390153166324073,82.22523249619935,-17.27892494889436,82.91770147046066,-20.20725247038033
23000000.0,81.90796665257778,-0.11907884946934866,82.0644738671062,-16.671372090505447,82.65666236450578,-19.298618140813183
24000000.0,81.90795018471088,-0.12425616400317176,82.18938119889214,-15.85443978223757,82.88478574796402,-18.629068043495383
25000000.0,81.90793301609123,-0.12943347512243916,82.29322871219955,-15.17246016130757,83.19834981332896,-17.809990801709066
26000000.0,81.90791514671977,-0.13461078268488033,82.3413932995346,-14.765611754201885,83.22078826568371,-17.267944647899863
27000000.0,81.9078965765975,-0.13978808654822517,82.22666768245575,-14.15425951251998,83.18715991022215,-16.53913662821193
28000000.0,81.90787730572544,-0.14496538657020383,82.39812825680059,-13.678004163517958,83.54537475077534,-15.871297497325342
29000000.0,81.90785733410463,-0.15014268260854688,82.42505288174371,-13.194215853483492,83.51815896761701,-15.465059656068995
30000000.0,81.90783666173616,-0.1553199745209851,82.41373097722182,-12.809864549113687,83.38636023224028,-15.041268638872474
31000000.0,81.90781528862121,-0.16049726216524984,82.64503197833416,-12.33804723748333,83.91108087735475,-14.71880998691177
32000000.0,81.90779321476091,-0.16567454539907275,82.56541546903416,-11.961742611714229,83.75282820332224,-14.17673741956607
33000000.0,81.90777044015651,-0.17085182408018587,82.49887033678323,-11.681253747666632,83.74862234472654,-13.740525824018057
34000000.0,81.90774696480923,-0.1760290980663217,82.60374227862934,-11.320628461215978,83.94839861614777,-13.327790720749157
35000000.0,81.90772278872039,-0.1812063672152131,82.55235451846296,-10.974919781999217,83.82900863716411,-12.922464917887067
36000000.0,81.90769791189129,-0.18638363138459346,82.63656954679453,-10.666711605312466,83.9151275364212,-12.671331190563865
37000000.0,81.9076723343233,-0.1915608904321966,82.61308946301966,-10.34341970017668,84.04471450861605,-12.18640978672405
38000000.0,81.90764605601785,-0.19673814421575675,82.63311226813853,-10.155714907816659,83.97539993364077,-11.924927044677974
39000000.0,81.90761907697636,-0.20191539259300872,82.68516528111577,-9.847265961150368,84.09749394589,-11.53928424724874
40000000.0,81.90759139720033,-0.20709263542168774,82.66067171237519,-9.649347046786232,84.05541867537958,-11.375404820968978
41000000.0,81.90756301669128,-0.21226987255952962,82.72115650781578,-9.39127927931901,84.16763241906443,-11.159293606312259
42000000.0,81.90753393545074,-0.21744710386427052,82.69564156335339,-9.207463642892849,84.12267057367558,-10.862633517361386
43000000.0,81.90750415348036,-0.22262432919364739,82.74144283963605,-9.016904351086396,84.25531648332054,-10.639390677291782
44000000.0,81.90747367078173,-0.2278015484053975,82.76028554742788,-8.827678526806238,84.24512802328282,-10.406043478380381
45000000.0,81.90744248735655,-0.23297876135725884,82.68744016292132,-8.543415091611779,84.18526487702827,-9.99368611970376
46000000.0,81.90741060320653,-0.2381559679069699,82.70525027842984,-8.457899728805572,84.22872738322634,-9.919012748955453
47000000.0,81.9073780183334,-0.24333316791226972,82.64447367309097,-8.20397273288299,84.13664562597079,-9.593551769042534
48000000.0,81.907344732739,-0.2485103612308981,82.68056471106992,-8.01270137126493,84.22495998061488,-9.35495502226963
49000000.0,81.90731074642513,-0.25368754772059515,82.72595280253095,-7.860510883895687,84.24189472585772,-9.220366064889767
50000000.0,81.90727605939364,-0.258864727239102,82.74079350921268,-7.746605140525857,84.30091810566017,-9.013210042203903
51000000.0,81.90724067164643,-0.2640418996441599,82.72992627279125,-7.6052288702914135,84.29378374833227,-8.866090077474958
52000000.0,81.90720458318552,-0.2692190647935115,82.7213452241682,-7.4343217167081175,84.31221643014123,-8.63058520715209
53000000.0,81.90716779401282,-0.2743962225448993,82.76430932361254,-7.315618152276124,84.343605316236,-8.507203852755872
54000000.0,81.90713030413038,-0.27957337275606714,82.7798540817191,-7.180526455296685,84.3917162326515,-8.352298647843737
55000000.0,81.90709211354024,-0.28475051528475903,82.75891786958543,-7.013869542273712,84.35128041406911,-8.111088643333774
